product_name,product_category,product_promo,product_price,quantity_sold,location
Egg incubator - 30setter/30hatcher automatic swingtype,Others,,"₱4,000",6 sold,"Taguig City, Metro Manila"
"AZOLLA AQUATIC PLANT (HYBRID FARMING) - ₱90 - 1 LITER, ₱45 - 500ML, ₱32 - 350ML",Others,,₱26 - ₱77,188 sold,"Pilar, Sorsogon"
4 LITERS  NOBAC ORGANIC BASED DEODORIZER AND DISINFECTANT,Others,wholesale,"₱2,100",344 sold,"Malolos City, Bulacan"
TOSHIO HOME 【phlocal ship】Animal Sheep Livestock Pig Ear Tags Lables Marking Plier,Others,₱10 off,₱306 - ₱658,2.9K sold,"Guiguinto, Bulacan"
GrimmLabs Order Boxs,Others,,₱5,271 sold,"Santa Rosa City, Laguna"
PRO-MASS ADVANCE ™ (CANINE MASS GAINER ),Others,10% off,"₱1,088",1.4K sold,"San Juan City, Metro Manila"
"⚡️ UNISPACE ✔️1x3 Heavy Duty Flexible Interlocking Dog Matting ""Dog Cage Plastic Matting"" / Plastic",Others,,₱88 - ₱149,17.6K sold,"Marilao, Bulacan"
1/3/5/10/30ml Baby Pet Feeding Syringes With Silicone Nipple Set Pet Miracle Pacifier,Others,,₱139 - ₱239,241 sold,"Santa Cruz, Metro Manila"
Betta tank (glass)..,Others,wholesale,₱80,92 sold,"Davao City, Davao Del Sur"
Pets Own Pet Milk Cat and Kitten Milk Dog and Puppy Milk EXPIRY(CATAug2023)(DOGJuly2023),Others,,₱200,3.9K sold,"Sariaya, Quezon"
KENNEL CLEAN Multi-Purpose Cleaner - Happy Fur - Concentrated Disinfectant Pet Dog Cat Cleaner,Others,₱10 off,₱129 - ₱199,395 sold,"San Mateo, Rizal"
Incubator For Egg  Constant Temperature Egg Incubator Full Automatic Egg Incubator Multifunction,Others,₱120 off,"₱1,779 - ₱7,849",3.1K sold,"Malabon City, Metro Manila"
"Pet Footprints Hand Print Without Contact with Skin, Ink Pad, 0-6 Months Infant Pet Dog Paw Seal Souvenir",Others,"₱16 off
Economy Delivery",₱300,801 sold,Mainland China
60ml Pet Milk Bottle Clear Scale Silicone Nipple Cat Baby Dog BabyFeeding BottlePet Supplies C1,Others,Any 2 enjoy 1% off,₱97,3.2K sold,"Pasig City, Metro Manila"
Clissora Pets - Forever Fresh Madre De Cacao Soap with Neem Extract,Others,wholesale,₱55,291 sold,"Las Pinas City, Metro Manila"
"Dummy Trainor Cock/ Training Cock ""Made in real Feathers""",Others,wholesale,₱380,258 sold,"Zaragoza, Nueva Ecija"
pellet maker heavy duty brand new pellet extruder pellet machine pelletizer,Others,,"₱2,500",53 sold,"Caloocan City, Metro Manila"
Tarantula Enclosure Top Ventilation Good For 1.5inch Below / Scorpion Enclosure,Others,,₱95,149 sold,"Valenzuela City, Metro Manila"
Dog Bone Biscuits (dog treats/training treats) Trial pack 10grams,Others,Any 2 enjoy 10% off,₱7,247 sold,"Marikina City, Metro Manila"
sessiliflora for fullgold,Others,,₱130 - ₱310,40 sold,"Cainta, Rizal"
egg incubator for hatching eggs,Others,,"₱2,316",133 sold,"Taguig City, Metro Manila"
Incubator (Semi-automatic) 50 Capacity,Others,,"₱1,364 - ₱1,800",585 sold,"Cabanatuan City, Nueva Ecija"
