product_name,product_category,product_promo,product_price,quantity_sold,location
Pet Sausage Dog Sausage 15g Cat Sausage Pet Snack Cat Dog Food Treats Ham Dog Training Sausage,Pet Care,₱ 4 | 3.30 ONLY,₱18,435.4K sold,"Guiguinto, Bulacan"
Petcher 25g Anti Tick and Flea Pure Madre De Cacao Soap Anti Garapata Anti Mange for Dogs & Cats,Pet Care,Add-on Deal,₱15,18.9K sold,"Quezon City, Metro Manila"
Pet Bowl Cat Bowl Dog Bowl 2 in 1 Food Bowl Drinking Bottle Set Puppy Kitty Food Bowls Water Bowl,Pet Care,₱ 44 | 3.30 ONLY,₱11 - ₱46,22.6K sold,"Valenzuela City, Metro Manila"
Be Well Pet Supplements for Dogs and Cats - All Natural Superfood Vitamins,Pet Care,,₱145 - ₱300,10.5K sold,"Quezon City, Metro Manila"
15g Pet Sausage Cat Dog Sausage Pet Snack Cat Dog Treat training sausage for reward Treat,Pet Care,,₱20,20.3K sold,"Malabon City, Metro Manila"
Misstu Dog Training Potty Pad(With Stand)  Pet Toilet Dog Toilet Cat Toilet Pet Potty,Pet Care,Free Gift,₱40 - ₱189,3.8K sold,"Valenzuela City, Metro Manila"
Dog Carrier Cat Front/Back Carrier Pet Carrier Dog Bag Carrier Dog Carrier Outdoor Backpack,Pet Care,₱ 155 | 3.30 ONLY,₱52 - ₱256,5K sold,"Binondo, Metro Manila"
Pet Grooming Shampoo Dispenser Dog Bath Massage Brush Comb Bathroom Shower Brush for Dogs Cats,Pet Care,Free Gift,₱7 - ₱34,119.2K sold,"Valenzuela City, Metro Manila"
【Buy 10 Ship 40】Pet Sausage Dog Cat Treats of Treats Beef Chicken Duck Tuna Training Award Snacks,Pet Care,Add-on Deal,₱25,37.5K sold,"Malabon City, Metro Manila"
Qti Female Male Pet Dog Diaper 36’s XXS XS S M L XL Puppies&Cats Diapers,Pet Care,Add-on Deal,₱46 - ₱221,7.9K sold,"Marilao, Bulacan"
Pet Bath Towel Strong Water Absorbent Towel Dog Bath Towel Soft Microfiber,Pet Care,₱ 51 | 3.30 ONLY,₱51 - ₱146,2.4K sold,"Marilao, Bulacan"
Pet Cologne Luxe Essential Dog spray fur babies Pet Spray COD Pet Perfume Cat Spray Perfume No. 1,Pet Care,,₱49 - ₱89,14.3K sold,"Valenzuela City, Metro Manila"
70g Wanpy Myfoodie Wet Food Pouch Cat Wet Food Dog Wet Food Cat Treat Dog Treat,Pet Care,,₱25 - ₱32,64.1K sold,"Quezon City, Metro Manila"
⭐Hot⭐Dog dress for Female Pet Cat Puppy Floral Princess Skirt S-XL,Pet Care,Any 2 enjoy 1% off,₱49 - ₱76,8.9K sold,Mainland China
Cat Bed Dog Bed Mat Cat Bed Washable Sleeping Warm Soft Pet Mat Cat Mat cat bed cushion Bed for dog,Pet Care,₱ 75 | 3.30 ONLY,₱58 - ₱175,7.1K sold,"Binondo, Metro Manila"
Aozi Organic Wet Cat Food Pouch 85g,Pet Care,,₱37,25.2K sold,"Tondo I / Ii, Metro Manila"
Premium Cat Litter Sand - LAVENDER Scent | 2kg (REPACKED),Pet Care,,₱75,16.4K sold,"Calamba City, Laguna"
Cat Scratch Board Pet Toy Replaceable Scratch Resistant Claw Scratching Play Fun Supplies Kitten,Pet Care,₱ 141 | 3.30 ONLY,₱141 - ₱357,6.7K sold,"Malabon City, Metro Manila"
Appetite Booster for Dog and Cat All Natural Food Toppers for Picky Eaters of Pets Chicken Liver,Pet Care,,₱68 - ₱218,17.6K sold,"Valenzuela City, Metro Manila"
