product_name,product_category,product_promo,product_price,quantity_sold,location
Disposable Syringe Pet Use Dropper with Removable Needle 24/7 Pet Shop,Pet Essentials,,₱5,1.4K sold,"Tondo I / Ii, Metro Manila"
1cc/ 1ml 3cc/ 3ml 5cc/ 5ml Disposable Syringe Medicine Dropper with Removable Needle,Pet Essentials,,₱5,5.7K sold,"Tondo I / Ii, Metro Manila"
Bearing Tick and Flea Shampoo for Dogs and Cats,Pet Essentials,,₱145 - ₱650,3.7K sold,"Las Pinas City, Metro Manila"
Be Well Pet Supplements for Dogs and Cats - All Natural Superfood Vitamins,Pet Essentials,,₱145 - ₱300,10.5K sold,"Quezon City, Metro Manila"
"Disposable Syringe for Meds (1ml, 3ml, 5ml, 10ml) per piece",Pet Essentials,,₱6 - ₱9,5.1K sold,"San Pablo City, Laguna"
ENDEX OPTIMUM PREVENTION for Dogs & Cats (MULTI-PURPOSE) Sold per Tablet,Pet Essentials,,₱32 - ₱63,12.7K sold,"Pasay City, Metro Manila"
"SPRAY FOR MANGE AND OTHER PARASITES OF PETS (Rabbit, Dog, Cat, Hamster, Guinea Pig and other pets)",Pet Essentials,,₱195 - ₱795,582 sold,"Valenzuela City, Metro Manila"
Pet Dog Supplement Cat Vitamin Multivitamin Probiotics Beauty Hair Bulu Bone Calcium 180pcs Vitamin,Pet Essentials,,₱179,5.6K sold,"Quiapo, Metro Manila"
Pet vaccination passport vaccination card vaccination record vaccination certificate,Pet Essentials,,₱20 - ₱85,8.6K sold,"Bulacan, Bulacan"
"Bioline Ear Care, Eye Care, Tear Stain and Ear Mites 50ml for Dogs and Cats",Pet Essentials,,₱35 - ₱122,15.8K sold,"Quezon City, Metro Manila"
Simparica TRIO Anti Tick & Flea Chewable Tablet for Dog with Sticker Heartworm & Dewormer (Nexgard),Pet Essentials,₱ 659 | 3.30 ONLY,"₱659 - ₱2,395",2.3K sold,"Las Pinas City, Metro Manila"
Fedgrozyme Forte Poop Odor Remover Probiotics Pee Odor Remover Cat Litter Hamster Pee Dog Potty Pet,Pet Essentials,,₱25 - ₱70,1.1K sold,"Caloocan City, Metro Manila"
FurMilk Goat's Milk Replacer for Dogs and Cats 200g (New Packaging),Pet Essentials,wholesale,₱130,1.1K sold,"Malolos City, Bulacan"
"Gentamicin Eye drops and Ear drops for Pets Dogs, Cats, chicken, Pigeon etc. 5mL",Pet Essentials,wholesale,₱120,967 sold,"Caloocan City, Metro Manila"
Petcher Organics 9-in-1 Madre De Cacao Anti Tick and Flea Shampoo Bundle for Dog & Cat All Breeds,Pet Essentials,Add-on Deal,₱99 - ₱449,850 sold,"Quezon City, Metro Manila"
Collagen Miracle Pet Eye Wipes,Pet Essentials,Any 2 enjoy 5% off,₱125 - ₱162,3.2K sold,"Paete, Laguna"
PROXANTEL PER piece WITH STICKER (new packaging),Pet Essentials,,₱41 - ₱60,8.4K sold,"Pasig City, Metro Manila"
"Petcher En-Dex Endex 4000 & 8000 for Dogs and Cats Anti Ticks, Fleas and Mange Pet Treatment",Pet Essentials,Add-on Deal,₱34 - ₱64,6.8K sold,"Quezon City, Metro Manila"
Mondex Dextrose Powder D-Glucose Monohydrate for Dogs 100grams and 340grams,Pet Essentials,₱ 45 | 3.30 ONLY,₱45 - ₱86,5.8K sold,"Las Pinas City, Metro Manila"
DEXTROSE POWDER 1kg DEXTROVET,Pet Essentials,wholesale,₱146,2.7K sold,"Dasmarinas City, Cavite"
Nematocide (Pyrantel Embonate) Dewormer for Dogs and Cats 15ml,Pet Essentials,wholesale,₱106,1K sold,"Calamba City, Laguna"
VCO organic extra virgin coconut oil for Pets,Pet Essentials,,₱89 - ₱159,885 sold,"Makati City, Metro Manila"
LC VIT Multivitamins for Dogs Syrup,Pet Essentials,,₱78 - ₱120,19.5K sold,"Las Pinas City, Metro Manila"
premium filter wool 30x12cm (per piece),Pet Essentials,,₱9,13.3K sold,"Quezon City, Metro Manila"
POMISOL (Veterinary EAR Drops for Cats & Dogs) 15mL,Pet Essentials,,₱135,1.5K sold,"Calamba City, Laguna"
Vet Core Plus Nature's Advance Tick Spray & Dog Soap,Pet Essentials,Any 2 enjoy 3% off,₱159 - ₱485,3.4K sold,"Mandaluyong City, Metro Manila"
Be Well Pet Meal Toppers for Dogs and Cats,Pet Essentials,,₱235 - ₱285,2.6K sold,"Quezon City, Metro Manila"
NexGard Spectra Chewable Tablets with Sticker,Pet Essentials,,"₱553 - ₱2,479",11.2K sold,"Las Pinas City, Metro Manila"
Drontal Plus 1 Tablet Tasty Dewormer Tablets for Dogs Cats,Pet Essentials,Free Gift,₱14 - ₱58,16.7K sold,"Valenzuela City, Metro Manila"
NEXGARD Chewable tablets for Dogs ( per tablet / piece ) for ticks & fleas.,Pet Essentials,,₱455 - ₱550,2.7K sold,"Caloocan City, Metro Manila"
Vet Core Plus Nature's Advance Tick and Flea Spray & Dog Soap Vetcore+,Pet Essentials,,₱120 - ₱294,6.2K sold,"Dasmarinas City, Cavite"
Papi Vermifuge Suspension Dewormer 60mL for Dogs and Cats,Pet Essentials,wholesale,₱148,4.5K sold,"Malolos City, Bulacan"
LKJ-Pure Deep Sea Fish Oil Omega 3-K9 Dogs and Cats Supplement Soft Gels For Stronger Immune System,Pet Essentials,,₱60 - ₱189,14.3K sold,"Caloocan City, Metro Manila"
Tick and Flea Spray Remover 100ml Suitable for Dogs and Cats Plant-based Formula Doesn't Hurt,Pet Essentials,Any 2 enjoy 3% off,₱159,2.4K sold,"Plaridel, Bulacan"
