product_name,product_category,product_promo,product_price,quantity_sold,location
15g Pet Sausage Cat Dog Sausage Pet Snack Cat Dog Treat training sausage for reward Treat,Pet Food & Treats,,₱20,20.3K sold,"Malabon City, Metro Manila"
Royal Canin Intense Beauty Instinctive Kitten Adult Cat Urinary Hairball Care Wet in Pouch SPT Range,Pet Food & Treats,₱ 51 | 3.30 ONLY,₱51 - ₱61,117.5K sold,"Las Pinas City, Metro Manila"
Top Breed Dog Food Beef Flavor - HALF KG (Puppy & Adult),Pet Food & Treats,,₱51 - ₱60,11.4K sold,"Pasig City, Metro Manila"
Vitamin High Creamy Cat Snack 15g Pet Food Wet Treats Cat Nutrition Snacks Premium,Pet Food & Treats,,₱12,4.3K sold,"Taguig City, Metro Manila"
Pet Sausage Dog Sausage 15g Cat Sausage Pet Snack Cat Dog Food Treats Ham Dog Training Sausage,Pet Food & Treats,₱ 4 | 3.30 ONLY,₱18,435.4K sold,"Guiguinto, Bulacan"
BUY 1 TAKE 1 FREE CURLY TREATS STICK(S )(7cm),Pet Food & Treats,,₱5 - ₱24,61.7K sold,"Paranaque City, Metro Manila"
Moochie Wet Dog Food Casserole Assorted Flavors with Unique Benefits 85g Pouches,Pet Food & Treats,"₱15 off
Any 2 enjoy 2% off",₱65,1.1K sold,"Quezon City, Metro Manila"
Cat treats snacks per stick 15g Cat wet food for kitten and adult cat,Pet Food & Treats,,₱15,22K sold,"Marilao, Bulacan"
Pet food dog snacks molar teeth cleaning deodorant biscuits calcium milk small steamed buns 100g,Pet Food & Treats,Add-on Deal,₱6 - ₱29,3.8K sold,"Quezon City, Metro Manila"
【SameFlavor Buy 10 ship 15】Cat Strip 15g Wet Food treats Cat Kitten Adult Cat Liquid Nutrition Cream,Pet Food & Treats,wholesale,₱24,26.4K sold,"Valenzuela City, Metro Manila"
Pedigree wet dogfood adult puppy free madre de cacao soap HOTELCUT grilled liver simmered beef GPTIN,Pet Food & Treats,Free Gift,₱31 - ₱46,15.9K sold,"Quezon City, Metro Manila"
Buy 10 Free 5 Cat Strip 15g Wet Food treats Cat Kitten Adult Cat Liquid Nutrition Cream Fresh,Pet Food & Treats,Free Gift,₱16,26.8K sold,"Valenzuela City, Metro Manila"
【Buy 10 Ship 40】Pet Sausage Dog Cat Treats of Treats Beef Chicken Duck Tuna Training Award Snacks,Pet Food & Treats,Add-on Deal,₱25,37.5K sold,"Malabon City, Metro Manila"
FROZEN BLOODWORM (WHOLESALE) betta tetra angelfish mollies discus reptile turtle fish food,Pet Food & Treats,Add-on Deal,₱150 - ₱273,780 sold,"Los Banos, Laguna"
70g Wanpy Myfoodie Wet Food Pouch Cat Wet Food Dog Wet Food Cat Treat Dog Treat,Pet Food & Treats,,₱25 - ₱32,64.1K sold,"Quezon City, Metro Manila"
"okiko platinum size (M, L, XL)",Pet Food & Treats,,₱100,24.9K sold,"Quezon City, Metro Manila"
70g Kit Cat Kitcat Gravy Deboned Wet Can Food Cat Essentials,Pet Food & Treats,,₱47,2.7K sold,"Tondo I / Ii, Metro Manila"
