product_name,product_category,product_promo,product_price,quantity_sold,location
【6pcs Freebies】LCD Screen 2800W Power Hair Dryer Pet Dog Cat Grooming Warm Wind Fast Blow-dryer,Pet Grooming Supplies,"₱20 off
Add-on Deal","₱2,478 - ₱3,498",3.8K sold,"Valenzuela City, Metro Manila"
Pet Bath Towel Strong Water Absorbent Towel Dog Bath Towel Soft Microfiber,Pet Grooming Supplies,₱ 51 | 3.30 ONLY,₱51 - ₱146,2.4K sold,"Marilao, Bulacan"
Cat Grooming Nail Cutting Anti Scratch Bite Fixed Bag Bath Trimming For Pet Beauty Hammock Hanging,Pet Grooming Supplies,Any 3 enjoy 4% off,₱39 - ₱185,804 sold,"Marilao, Bulacan"
Cocoyo Pet  Dog Wet Wipes for Dogs and Cats Animals,Pet Grooming Supplies,₱ 59 | 3.30 ONLY,₱20 - ₱59,6.7K sold,"Valenzuela City, Metro Manila"
Petcher 25g Anti Tick and Flea Pure Madre De Cacao Soap Anti Garapata Anti Mange for Dogs & Cats,Pet Grooming Supplies,Add-on Deal,₱15,18.9K sold,"Quezon City, Metro Manila"
Luscious 500ml Gentle Paws Natural Organic Mouthwash Oral Care Fresh Breath For Dogs and Cats,Pet Grooming Supplies,Free Gift,₱799,807 sold,"Tondo I / Ii, Metro Manila"
Dog and cat pet nail grinder trimmer rechargeable electric professional grooming kit pet nail grinde,Pet Grooming Supplies,₱ 204 | 3.30 ONLY,₱189 - ₱204,1.5K sold,"Quiapo, Metro Manila"
Cat Grooming Bath Bag Cat Bathing Bag Mesh Pet Nail Care Net Anti Bite Scratch For Cat Restraint Bag,Pet Grooming Supplies,Any 3 enjoy ₱5 off,₱29 - ₱75,4.5K sold,"Meycauayan City, Bulacan"
Kemei KM-1991 Professional Hair Clipper Razor Dog Heavy Duty Rechargeable Pet Hair Removal Machine,Pet Grooming Supplies,₱39 off,"₱1,490",1.8K sold,"Valenzuela City, Metro Manila"
Pet toothbrush Cat Dog Dental Care 4 In 1 Oral Cleaning Toothpaste/toothbrush Set,Pet Grooming Supplies,Free Gift,₱22 - ₱109,1.7K sold,"Valenzuela City, Metro Manila"
"Bark and Spark Paw and Bum Cleanser for Dogs and Cats, No-Rinse Cleansing Foam with Lavender Extract",Pet Grooming Supplies,₱50 off,₱179 - ₱494,2.2K sold,"Quezon City, Metro Manila"
Pet Grooming Hammock Nail Trimming Dog Cat Fixed Noose Shower Puppy Restraint Bag Cleaning Tools,Pet Grooming Supplies,Any 3 enjoy 4% off,₱45 - ₱179,2.6K sold,"Marilao, Bulacan"
No1.go pet bath brush puppy big dog cat bath massage gloves brush soft safety silicone pet tools,Pet Grooming Supplies,,₱48,8.6K sold,"Valenzuela City, Metro Manila"
"Bioline Cat, Dog Dental Hygiene Set - Toothpaste, Pet Toothbrush",Pet Grooming Supplies,Free Gift,₱98 - ₱198,4.6K sold,"Imus, Cavite"
Dog nail cutter for dog cat nail cutter nail cutter for dogs,Pet Grooming Supplies,Free Gift,₱19 - ₱55,6.2K sold,"Valenzuela City, Metro Manila"
Pet Scissors Dog Teddy Shih Tzu Grooming Hair Trimming Tool Set Straight Cut Warped Teeth Cutter,Pet Grooming Supplies,"₱50 off
Any 2 enjoy 2% off",₱312,324 sold,Mainland China
Pet Toothbrush Set w/ Toothpaste for Dog Cat Pet Essentials,Pet Grooming Supplies,,₱30 - ₱55,617 sold,"Tondo I / Ii, Metro Manila"
Pet Nail Clipper Nail Cutter STAINLESS NAIL CLIPPER W/ NAIL FILE TOOL FOR DOGS&CATS,Pet Grooming Supplies,,₱25 - ₱55,17.2K sold,"Marilao, Bulacan"
Bioline Ear Care / Tear Stain/ EYE CARE 50ml Clean Ears and Eyes for Cats & Dogs,Pet Grooming Supplies,,₱35 - ₱153,12.2K sold,"Paranaque City, Metro Manila"
