product_name,product_category,product_promo,product_price,quantity_sold,location
Pet Bowl Cat Bowl Dog Bowl 2 in 1 Food Bowl Drinking Bottle Set Puppy Kitty Food Bowls Water Bowl,Pet Toys & Accessories,₱ 44 | 3.30 ONLY,₱11 - ₱46,22.6K sold,"Valenzuela City, Metro Manila"
Cat Bag Carrier Portable Outdoor Cat Travel Backpack Capsule bag for Dog Cat,Pet Toys & Accessories,"₱10 off
Any 2 enjoy ₱5 off",₱129 - ₱569,7.9K sold,"Meycauayan City, Bulacan"
Ready Stock COD Cat Cage Easy Assemble Cage Pet 2/3/4 Layer Kulungan ng Pusa,Pet Toys & Accessories,₱50 off,"₱799 - ₱2,699",2.4K sold,"San Miguel, Metro Manila"
Free Engrave Pet Dog Collar Dog Tags Cat collar Pet ID Collars stainless steel cat tag customized tag Pet Accessories,Pet Toys & Accessories,Any 3 enjoy 3% off,₱36 - ₱157,2.5K sold,Mainland China
Automatic Pet Dog Cat Water Dispenser Fountain Pet Dog Cat Water Loop Mute Pump Smart Pet bowl 1.5L,Pet Toys & Accessories,,₱99 - ₱399,3K sold,"Paranaque City, Metro Manila"
Pet Carrier Travel Cage Cat Dog carrier Cat Carrier Crates Airline Approved Pet Cage,Pet Toys & Accessories,₱ 345 | 3.30 ONLY,₱165 - ₱742,2.3K sold,"Binondo, Metro Manila"
【90*55*125CM】 Cat Cage 4 Layer Pet Cage  Foldable Sturdy  Pet Furniture Cat Cages with Wheels,Pet Toys & Accessories,"₱50 off
Any 2 enjoy 2% off","₱1,839 - ₱2,889",1.8K sold,"Malabon City, Metro Manila"
Interactive Pet Dog Toy Fun Giggle Sounds When Rolled or Shaken Chewing Training Toy Pet Dog Toothbrush Ball for Puppy Dogs,Pet Toys & Accessories,Any 2 enjoy 2% off,₱248 - ₱286,1.1K sold,"Cabuyao, Laguna"
PET Portable travel pet bowl cat and dog feeding utensils,Pet Toys & Accessories,,₱9,18.9K sold,"Malabon City, Metro Manila"
Cat Bag Kitten Backpack Pet Carrier Outdoor Backpack Portable Travel Transparent Space Bag,Pet Toys & Accessories,"₱5 off
Any 2 enjoy ₱10 off",₱209 - ₱558,11.3K sold,"Meycauayan City, Bulacan"
Cat Bed Dog Bed Mat Cat Bed Washable Sleeping Warm Soft Pet Mat Cat Mat cat bed cushion Bed for dog,Pet Toys & Accessories,₱ 75 | 3.30 ONLY,₱58 - ₱175,7.1K sold,"Binondo, Metro Manila"
