,product_name,product_category,product_promo,product_price,quantity_sold,location
0,Dog Training Pad Pet Pee Pad Dog Potty Pads Cat Dog Pee Training Pad Pet Wee Pee Poop Training Pad,Litter & Toilet,Free Gift,₱5 - ₱15,2900000,"Valenzuela City, Metro Manila"
1,15 grams Sausage Pet Treat High Quality Pet Sausage Treat Pet Snack Dog Treat Cat Treat,Pet Food & Treats,,₱10,1400000,"Quezon City, Metro Manila"
2,15 grams Sausage Pet Treat High Quality Pet Sausage Treat Pet Snack Dog Treat Cat Treat,Pet Care,,₱10,1400000,"Quezon City, Metro Manila"
3,Pet Pee Pad  Dog Pee Training Pad Cat Pee Pad Pet Wee Pee Poop Training Pad,Pet Care,Add-on Deal,₱5 - ₱15,1300000,"Marilao, Bulacan"
4,15g pet sausage cat dog sausage pet snack cat dog training sausage,Pet Food & Treats,,₱10,908700,"Marilao, Bulacan"
5,15g pet sausage cat dog sausage pet snack cat dog training sausage,Pet Care,,₱10,908700,"Marilao, Bulacan"
6,Pet Dog Pee Training Pad Pee Pad Pet Wee Training Pads,Litter & Toilet,₱ 4 | 3.30 ONLY,₱4 - ₱11,865300,"Pasay City, Metro Manila"
7,Paw's Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 15g,Pet Care,₱ 4 | 3.30 ONLY,₱10,735200,"Pasay City, Metro Manila"
8,Pet Diaper Dog Pee Training Pad Pee Pads,Litter & Toilet,₱ 3 | 3.30 ONLY,₱3 - ₱13,442300,"Binondo, Metro Manila"
9,Pet New Land 15g sausage pet food snack cat dog snack ham sausage Training Award snack,Pet Food & Treats,Add-on Deal,₱20,440200,"Marilao, Bulacan"
