product_name,product_category,product_promo,product_price,quantity_sold,location
"⚡️ UNISPACE ✔️1x3 Heavy Duty Flexible Interlocking Dog Matting ""Dog Cage Plastic Matting"" / Plastic",Others,,₱88 - ₱149,17600,"Marilao, Bulacan"
Talisay leaves sunbaked 50 pcs only with FREEBIES,Others,wholesale,₱15,12500,"Caloocan City, Metro Manila"
Pet Poop Bag Refill garbage Waste disposable,Others,,₱7,7300,"Binondo, Metro Manila"
50/30 Egg Automatic Digital Incubator Chicken Poultry Hatcher Temperature Control,Others,"8% off
Add-on Deal","₱746 - ₱1,099",6600,"Marilao, Bulacan"
Allan Superstore Egg Incubator Bundle Thermostat Plus Metal Fan 220v Temperature,Others,Free Gift,₱150 - ₱225,6400,"Kawit, Cavite"
Pet Vaccination Card Vet Card Vet Certificate,Others,,₱18,6100,"Dasmarinas City, Cavite"
"10 Pcs 1/2“, 3/4” Bayonet Nipple drinkers Poultry Chicken coop Accessories",Others,"5% off
Any 10 enjoy 1% off",₱128 - ₱175,5500,Mainland China
"Disposable Syringes 1cc, 3cc, 5cc, 10cc per piece",Others,,₱5 - ₱10,4900,"Science City Of Munoz, Nueva Ecija"
Viddavet VIM 5 TO  7-day Boar Semen Extender,Others,"₱5 off
Any 5 enjoy ₱35 off",₱400,4500,"San Fernando City, Pampanga"
Pets Own Pet Milk Cat and Kitten Milk Dog and Puppy Milk EXPIRY(CATAug2023)(DOGJuly2023),Others,,₱200,3900,"Sariaya, Quezon"
