product_name,product_category,product_promo,product_price,quantity_sold,location
15 grams Sausage Pet Treat High Quality Pet Sausage Treat Pet Snack Dog Treat Cat Treat,Pet Care,,₱10,1400000,"Quezon City, Metro Manila"
Pet Pee Pad  Dog Pee Training Pad Cat Pee Pad Pet Wee Pee Poop Training Pad,Pet Care,Add-on Deal,₱5 - ₱15,1300000,"Marilao, Bulacan"
15g pet sausage cat dog sausage pet snack cat dog training sausage,Pet Care,,₱10,908700,"Marilao, Bulacan"
Paw's Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 15g,Pet Care,₱ 4 | 3.30 ONLY,₱10,735200,"Pasay City, Metro Manila"
Pet Sausage Dog Sausage 15g Cat Sausage Pet Snack Cat Dog Food Treats Ham Dog Training Sausage,Pet Care,₱ 4 | 3.30 ONLY,₱18,435400,"Guiguinto, Bulacan"
Cat Snack Pet Snacks Cat Kitten Snacks Cat Treats Fresh Wet Food 18G Cat Snacks Cat Food Cat Treat,Pet Care,,₱5 - ₱6,416200,"Valenzuela City, Metro Manila"
15g pet sausage cat dog sausage pet snack cat dog training sausage,Pet Care,,₱20,337200,"Marilao, Bulacan"
BUY 10 SHIP 30  Pet Pee Pad Dog Pee Training Pad Cat Pee Pad Pet Wee Pee Poop Training Pad,Pet Care,,₱5 - ₱15,302400,"Binondo, Metro Manila"
Pet Collar Dog Collar Cat Collar Puppy kitten Collar Footprint Nylon Reflective with Bells,Pet Care,₱ 8 | 3.30 ONLY,₱5 - ₱8,289800,"Valenzuela City, Metro Manila"
Dog Treat 15g Three Flavors of Sausage For All Dog Breeds Pet Snack Dog Treat,Pet Care,₱ 5 | 3.30 ONLY,₱10,214500,"Binondo, Metro Manila"
