product_name,product_category,product_promo,product_price,quantity_sold,location
Pet Vaccination Card / Certificate,Pet Clothing & Accessories,,₱8,92300,"Dasmarinas City, Cavite"
High Quality New cartoon pet vest Teddy puppy dog clothes spring and summer small dog Pet Cloth,Pet Clothing & Accessories,Free Gift,₱38 - ₱58,54800,"Valenzuela City, Metro Manila"
dog clothes dog jersey puppy clothes puppy jersey,Pet Clothing & Accessories,₱ 29 | 3.30 ONLY,₱29 - ₱88,52500,"Pasay City, Metro Manila"
Bowknot Cat Collar with Bells Necklace Buckle Adjustable Small Dog Puppy Kitten Collars Pet Accessories,Pet Clothing & Accessories,"wholesale
Economy Delivery",₱52,50900,Mainland China
New cartoon pet vest Teddy puppy dog clothes spring and summer small dog Pet Cloth,Pet Clothing & Accessories,₱ 24 | 3.30 ONLY,₱31 - ₱55,43600,"Binondo, Metro Manila"
Pet Elizabeth Cone E-Collar Cat Dog Safety Collar Circle Pet Head Cover Bite Anti,Pet Clothing & Accessories,Free Gift,₱26 - ₱134,38000,"Valenzuela City, Metro Manila"
Cartoon Cat Pet Dog Clothes cute Cat T-shirt Puppy Summer Pet Supplies Dog Vest 7 Color Supplies,Pet Clothing & Accessories,,₱19 - ₱45,36000,"Guiguinto, Bulacan"
Pet Collar Dog Collar Cat Collar Puppy kitten Collar Footprint Nylon Reflective with Bells,Pet Clothing & Accessories,Free Gift,₱16,28700,"Silang, Cavite"
Super Lovely Dog Clothes Summer Pet Vest Comfortable Breathable French Bulldog Clothes Cool Clothes,Pet Clothing & Accessories,₱ 24 | 3.30 ONLY,₱24 - ₱39,27000,"Binondo, Metro Manila"
Pet Dog Bow Ties Collar Adjustable Cat Bow Ties Dog Bowtie,Pet Clothing & Accessories,,₱99,26000,"Valenzuela City, Metro Manila"
