product_name,product_category,product_promo,product_price,quantity_sold,location
15 grams Sausage Pet Treat High Quality Pet Sausage Treat Pet Snack Dog Treat Cat Treat,Pet Food & Treats,,₱10,1400000,"Quezon City, Metro Manila"
15g pet sausage cat dog sausage pet snack cat dog training sausage,Pet Food & Treats,,₱10,908700,"Marilao, Bulacan"
Pet New Land 15g sausage pet food snack cat dog snack ham sausage Training Award snack,Pet Food & Treats,Add-on Deal,₱20,440200,"Marilao, Bulacan"
Pet Sausage Dog Sausage 15g Cat Sausage Pet Snack Cat Dog Food Treats Ham Dog Training Sausage,Pet Food & Treats,₱ 4 | 3.30 ONLY,₱18,435400,"Guiguinto, Bulacan"
Jerhigh DOG TREATS for DOGS Adult Puppy 70g & 50g Dog Snack Snacks,Pet Food & Treats,₱ 77 | 3.30 ONLY,₱95,278600,"Las Pinas City, Metro Manila"
15g/stick Dog Treats Dog Food  Four Flavors of Sausage For All Dog Breeds Pet Snacks Pet Food,Pet Food & Treats,,₱15,242600,"Valenzuela City, Metro Manila"
Dog Treat 15g Three Flavors of Sausage For All Dog Breeds Pet Snack Dog Treat,Pet Food & Treats,₱ 5 | 3.30 ONLY,₱10,214500,"Binondo, Metro Manila"
Aozi Wet Dog Food in Can 430g,Pet Food & Treats,,₱66,131900,"Tondo I / Ii, Metro Manila"
"Aozi CAT Wet Food 430g ""NEW BATCH & LABEL""",Pet Food & Treats,wholesale,₱76,130900,"Makati City, Metro Manila"
Cat Food 1pcs Cat Snack Treats 15g Cat Strip Fresh Wet Food Pack Liquid Nutrition Cats Big Kitten,Pet Food & Treats,₱ 5 | 3.30 ONLY,₱16,127600,"Binondo, Metro Manila"
