product_name,product_category,product_promo,product_price,quantity_sold,location
Madre de cacao Dog Shampoo bundle pack - 2 Great Promo Scheme Option,Pet Grooming Supplies,,₱115 - ₱128,132200,"Cainta, Rizal"
Dog and Cat  Shampoo Bundle pack,Pet Grooming Supplies,,₱125 - ₱133,111300,"Cainta, Rizal"
Sticky Pet Fur Cleaner Hair Roller with Cover Clothes Cleaning Dust Removal Strong Sticky Reusable,Pet Grooming Supplies,Free Gift,₱19 - ₱39,102600,"Valenzuela City, Metro Manila"
"LKJ-Prolific Tails Madre De Cacao Shampoo Powder Scent Gallon (Anti Mange, Anti-Fungal & Bacterial)",Pet Grooming Supplies,,₱159,102600,"Caloocan City, Metro Manila"
Dog Cologne 8 different types of scents,Pet Grooming Supplies,,₱40 - ₱80,59100,"Quezon City, Metro Manila"
PureBred 1 LITER 100% Pure Madre de Cacao dog and cat shampoo with conditioner,Pet Grooming Supplies,"₱5 off
Add-on Deal",₱100,49700,"Valenzuela City, Metro Manila"
Dog Cat Pet Bath Brush Pet Grooming Soothe Massage Brush with Shampoo Dispenser Soft Silicone Bristl,Pet Grooming Supplies,,₱94,47000,"Tondo I / Ii, Metro Manila"
1pc Pet toothbrush Transparent silicone finger toothbrush dog teeth cleaning finger cover,Pet Grooming Supplies,,₱20,46500,"Marilao, Bulacan"
"Madre de Cacao Shampoo & Conditioner with Guava Extracts 250ml Anti Tick and Flea, Anti Fungal",Pet Grooming Supplies,₱ 45 | 3.30 ONLY,₱80,44500,"Pasig City, Metro Manila"
Saint Roche Premium Dog Shampoo,Pet Grooming Supplies,,₱159 - ₱459,34500,"Calamba City, Laguna"
