product_name,product_category,product_promo,product_price,quantity_sold,location
Artificial Water Grass Aquarium decor Plant Fish Tank Landscape Plastic Fake Flower,Toys & Accessories,Any 10 enjoy ₱20 off,₱24,65200,"Pulilan, Bulacan"
RED LAVA ROCKS (Gardening & Aquarium Substrate 1kg),Toys & Accessories,,₱17,25100,"Lipa City, Batangas"
Aquarium Air Stone for Air Pump Submersible Pump Power Head Silicone Hose fish tank Bubble Producing,Toys & Accessories,₱ 8 | 3.30 ONLY,₱8 - ₱30,21300,"Valenzuela City, Metro Manila"
"Aquarium Hose Connector ( Straight , L ,  T , X ) Clear / White - Aquapet",Toys & Accessories,,₱5 - ₱8,19200,"Mexico, Pampanga"
【PH Local】10cm Artificial Water Grass Aquarium decor Plant Fish Tank Landscape Plastic Fake Flower,Toys & Accessories,,₱50,18700,"Valenzuela City, Metro Manila"
"Waterbottle for Hamster / Hamster Water Bottle 80ml,125ml",Toys & Accessories,,₱40 - ₱55,18200,"Valenzuela City, Metro Manila"
Sponge Filter (Buy 1 Take 1) XY-2836,Toys & Accessories,,₱105,16300,"Las Pinas City, Metro Manila"
Aquarium Siphon Pump | Aquarium Cleaner | Siphon Hose,Toys & Accessories,"Any 10 enjoy ₱50 off
Visayas Specials",₱55,15600,"Minglanilla, Cebu"
Aquarium Air Hose Per Meter (4mm) Clear and Black,Toys & Accessories,Visayas Specials,₱6,15600,"Talisay City, Cebu"
Aquarium Suction Cup for airhose | top filter hose | aquarium heater holder,Toys & Accessories,Visayas Specials,₱6 - ₱12,15000,"Minglanilla, Cebu"
