,product_name,product_category,product_promo,product_price,quantity_sold,location
0,Disposable Syringe Pet Use Dropper with Removable Needle 24/7 Pet Shop,Pet Essentials,,₱5,1.4K sold,"Tondo I / Ii, Metro Manila"
1,1cc/ 1ml 3cc/ 3ml 5cc/ 5ml Disposable Syringe Medicine Dropper with Removable Needle,Pet Essentials,,₱5,5.7K sold,"Tondo I / Ii, Metro Manila"
2,Bearing Tick and Flea Shampoo for Dogs and Cats,Pet Essentials,,₱145 - ₱650,3.7K sold,"Las Pinas City, Metro Manila"
3,Be Well Pet Supplements for Dogs and Cats - All Natural Superfood Vitamins,Pet Essentials,,₱145 - ₱300,10.5K sold,"Quezon City, Metro Manila"
4,"Disposable Syringe for Meds (1ml, 3ml, 5ml, 10ml) per piece",Pet Essentials,,₱6 - ₱9,5.1K sold,"San Pablo City, Laguna"
5,ENDEX OPTIMUM PREVENTION for Dogs & Cats (MULTI-PURPOSE) Sold per Tablet,Pet Essentials,,₱32 - ₱63,12.7K sold,"Pasay City, Metro Manila"
6,"SPRAY FOR MANGE AND OTHER PARASITES OF PETS (Rabbit, Dog, Cat, Hamster, Guinea Pig and other pets)",Pet Essentials,,₱195 - ₱795,582 sold,"Valenzuela City, Metro Manila"
7,Pet Dog Supplement Cat Vitamin Multivitamin Probiotics Beauty Hair Bulu Bone Calcium 180pcs Vitamin,Pet Essentials,,₱179,5.6K sold,"Quiapo, Metro Manila"
8,Pet vaccination passport vaccination card vaccination record vaccination certificate,Pet Essentials,,₱20 - ₱85,8.6K sold,"Bulacan, Bulacan"
9,"Bioline Ear Care, Eye Care, Tear Stain and Ear Mites 50ml for Dogs and Cats",Pet Essentials,,₱35 - ₱122,15.8K sold,"Quezon City, Metro Manila"
10,Simparica TRIO Anti Tick & Flea Chewable Tablet for Dog with Sticker Heartworm & Dewormer (Nexgard),Pet Essentials,₱ 659 | 3.30 ONLY,"₱659 - ₱2,395",2.3K sold,"Las Pinas City, Metro Manila"
11,Fedgrozyme Forte Poop Odor Remover Probiotics Pee Odor Remover Cat Litter Hamster Pee Dog Potty Pet,Pet Essentials,,₱25 - ₱70,1.1K sold,"Caloocan City, Metro Manila"
12,FurMilk Goat's Milk Replacer for Dogs and Cats 200g (New Packaging),Pet Essentials,wholesale,₱130,1.1K sold,"Malolos City, Bulacan"
13,"Gentamicin Eye drops and Ear drops for Pets Dogs, Cats, chicken, Pigeon etc. 5mL",Pet Essentials,wholesale,₱120,967 sold,"Caloocan City, Metro Manila"
14,Petcher Organics 9-in-1 Madre De Cacao Anti Tick and Flea Shampoo Bundle for Dog & Cat All Breeds,Pet Essentials,Add-on Deal,₱99 - ₱449,850 sold,"Quezon City, Metro Manila"
15,Collagen Miracle Pet Eye Wipes,Pet Essentials,Any 2 enjoy 5% off,₱125 - ₱162,3.2K sold,"Paete, Laguna"
16,PROXANTEL PER piece WITH STICKER (new packaging),Pet Essentials,,₱41 - ₱60,8.4K sold,"Pasig City, Metro Manila"
17,"Petcher En-Dex Endex 4000 & 8000 for Dogs and Cats Anti Ticks, Fleas and Mange Pet Treatment",Pet Essentials,Add-on Deal,₱34 - ₱64,6.8K sold,"Quezon City, Metro Manila"
18,Mondex Dextrose Powder D-Glucose Monohydrate for Dogs 100grams and 340grams,Pet Essentials,₱ 45 | 3.30 ONLY,₱45 - ₱86,5.8K sold,"Las Pinas City, Metro Manila"
